t,ωfl,ωfr,ωrl,ωrr
0.0,1.8594134405510345,1.900727525092854,1.900727525092869,1.8594134405510452
0.1,1.7579589702688099,2.0125287531586955,2.0125287531587355,1.7579589702688228
0.2,1.6746901774790952,2.116893518108886,2.1168935181088546,1.6746901774790925
0.3,1.6116732891823766,2.216573338951779,2.216573338951776,1.6116732891823444
0.4,1.5694366871122973,2.3135093303870264,2.3135093303870704,1.569436687112317
0.5,1.54759030644992,2.4089341188598263,2.408934118859854,1.5475903064499594
0.6,1.5451846049490878,2.5034699052766856,2.5034699052767353,1.5451846049490787
0.7,1.5609264350351502,2.5972341988429513,2.5972341988429095,1.560926435035165
0.8,1.5933110347131758,2.689952054112067,2.689952054112044,1.5933110347132138
0.9,1.6407032419723167,2.781069859724036,2.7810698597240626,1.6407032419723462
1.0,1.7013882815846373,2.869865083687402,2.869865083687396,1.7013882815846386
1.1,1.7736053916894943,2.9555468267318785,2.9555468267318403,1.7736053916894716
1.2,1.855572990994393,3.0373428972415417,3.0373428972415986,1.8555729909943657
1.3,1.9455107660520332,3.1145702030174283,3.1145702030174105,1.9455107660520707
1.4,2.0416615139180383,3.186686495837411,3.1866864958373884,2.0416615139180343
1.5,2.142313666222874,3.253322845177269,3.253322845177297,2.1423136662228828
1.6,2.2458241090694346,3.314297559841741,3.3142975598417683,2.245824109069442
1.7,2.3506401647312427,3.369613493332856,3.3696134933328876,2.35064016473125
1.8,2.4553193450626294,3.4194416334169215,3.419441633416907,2.455319345062631
1.9,2.558545612034379,3.4640944942283323,3.464094494228303,2.558545612034391
2.0,2.6591412535971886,3.5039930602010503,3.5039930602010516,2.6591412535971477
2.1,2.756073968169291,3.5396308942034675,3.539630894203449,2.756073968169306
2.2,2.848459233892134,3.5715385856451207,3.571538585645132,2.848459233892143
2.3,2.935558438391535,3.6002510756375465,3.600251075637523,2.935558438391485
2.4,3.0167735177278825,3.6262796610392125,3.6262796610392054,3.016773517727907
2.5,3.091638989884562,3.6500897426428,3.6500897426428285,3.0916389898845518
2.6,3.159812283814922,3.672084718315624,3.6720847183156646,3.159812283814915
